ID;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;RATIO;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default.payment.next.month
44;37;0;0;0;0;0;0;0,4985;3000;3000;3000;4000;4000;3000;0
22964;36;-1;-1;-1;-1;-1;-1;0,0126;396;396;3160;396;396;396;0
109;38;0;0;0;-1;-1;-1;1,3721;10908;0;133657;4566;133841;4796;0
5568;48;-2;-2;-2;-2;-2;-2;0,0242;894;0;0;1639;923;0;0
2379;30;0;0;0;2;2;2;0,3194;2000;2100;0;1500;0;1500;1
18673;23;-1;-1;-1;-1;-1;-1;0,1308;1283;0;2616;600;780;1398;1
2008;49;-1;-1;-1;-2;-1;2;0,0197;1228;7270;2000;4325;0;11271;0
9033;25;0;0;0;-2;-2;-2;0,155;1275;0;0;0;0;0;0
4861;41;2;2;2;2;2;2;0,4558;4800;2500;3900;3400;3400;3400;1
98;27;0;0;0;0;0;0;0,5985;4031;10006;3266;4040;1698;800;0
